subject_id,Filename,subject_physics,fold
0,MPRAGE_sub_0_TI_0.68000.nii.gz,0.68,5
0,MPRAGE_sub_0_TI_0.84500.nii.gz,0.845,5
0,MPRAGE_sub_0_TI_0.85000.nii.gz,0.85,5
0,MPRAGE_sub_0_TI_0.61500.nii.gz,0.615,5
0,MPRAGE_sub_0_TI_1.03500.nii.gz,1.035,5
0,MPRAGE_sub_0_TI_0.65000.nii.gz,0.65,5
0,MPRAGE_sub_0_TI_0.93000.nii.gz,0.93,5
0,MPRAGE_sub_0_TI_0.68500.nii.gz,0.685,5
0,MPRAGE_sub_0_TI_0.98500.nii.gz,0.985,5
0,MPRAGE_sub_0_TI_1.15000.nii.gz,1.15,5
0,MPRAGE_sub_0_TI_1.16000.nii.gz,1.16,5
0,MPRAGE_sub_0_TI_1.07000.nii.gz,1.07,5
0,MPRAGE_sub_0_TI_1.09500.nii.gz,1.095,5
0,MPRAGE_sub_0_TI_0.81500.nii.gz,0.815,5
0,MPRAGE_sub_0_TI_0.96500.nii.gz,0.965,5
0,MPRAGE_sub_0_TI_0.86000.nii.gz,0.86,5
0,MPRAGE_sub_0_TI_0.63500.nii.gz,0.635,5
0,MPRAGE_sub_0_TI_0.73000.nii.gz,0.73,5
0,MPRAGE_sub_0_TI_0.75500.nii.gz,0.755,5
0,MPRAGE_sub_0_TI_1.16500.nii.gz,1.165,5
0,MPRAGE_sub_0_TI_0.64000.nii.gz,0.64,5
0,MPRAGE_sub_0_TI_0.70000.nii.gz,0.7,5
0,MPRAGE_sub_0_TI_1.10000.nii.gz,1.1,5
0,MPRAGE_sub_0_TI_0.63000.nii.gz,0.63,5
0,MPRAGE_sub_0_TI_0.71000.nii.gz,0.71,5
0,MPRAGE_sub_0_TI_1.13500.nii.gz,1.135,5
0,MPRAGE_sub_0_TI_0.73500.nii.gz,0.735,5
0,MPRAGE_sub_0_TI_1.07500.nii.gz,1.075,5
0,MPRAGE_sub_0_TI_1.03000.nii.gz,1.03,5
0,MPRAGE_sub_0_TI_0.97000.nii.gz,0.97,5
0,MPRAGE_sub_0_TI_0.97500.nii.gz,0.975,5
0,MPRAGE_sub_0_TI_0.84000.nii.gz,0.84,5
0,MPRAGE_sub_0_TI_1.05500.nii.gz,1.055,5
0,MPRAGE_sub_0_TI_1.18500.nii.gz,1.185,5
0,MPRAGE_sub_0_TI_0.86500.nii.gz,0.865,5
0,MPRAGE_sub_0_TI_1.12000.nii.gz,1.12,5
0,MPRAGE_sub_0_TI_1.11500.nii.gz,1.115,5
0,MPRAGE_sub_0_TI_0.93500.nii.gz,0.935,5
0,MPRAGE_sub_0_TI_1.12500.nii.gz,1.125,5
0,MPRAGE_sub_0_TI_1.08000.nii.gz,1.08,5
0,MPRAGE_sub_0_TI_0.89000.nii.gz,0.89,5
0,MPRAGE_sub_0_TI_1.18000.nii.gz,1.18,5
0,MPRAGE_sub_0_TI_1.01000.nii.gz,1.01,5
0,MPRAGE_sub_0_TI_1.17500.nii.gz,1.175,5
0,MPRAGE_sub_0_TI_0.83000.nii.gz,0.83,5
0,MPRAGE_sub_0_TI_0.74000.nii.gz,0.74,5
0,MPRAGE_sub_0_TI_0.66000.nii.gz,0.66,5
0,MPRAGE_sub_0_TI_0.77000.nii.gz,0.77,5
0,MPRAGE_sub_0_TI_0.99000.nii.gz,0.99,5
0,MPRAGE_sub_0_TI_0.69000.nii.gz,0.69,5
0,MPRAGE_sub_0_TI_0.62000.nii.gz,0.62,5
0,MPRAGE_sub_0_TI_1.00500.nii.gz,1.005,5
0,MPRAGE_sub_0_TI_0.71500.nii.gz,0.715,5
0,MPRAGE_sub_0_TI_0.87000.nii.gz,0.87,5
0,MPRAGE_sub_0_TI_0.75000.nii.gz,0.75,5
0,MPRAGE_sub_0_TI_0.60000.nii.gz,0.6,5
0,MPRAGE_sub_0_TI_0.78500.nii.gz,0.785,5
0,MPRAGE_sub_0_TI_1.14500.nii.gz,1.145,5
0,MPRAGE_sub_0_TI_0.89500.nii.gz,0.895,5
0,MPRAGE_sub_0_TI_0.95500.nii.gz,0.955,5
0,MPRAGE_sub_0_TI_1.01500.nii.gz,1.015,5
0,MPRAGE_sub_0_TI_0.88500.nii.gz,0.885,5
0,MPRAGE_sub_0_TI_0.94500.nii.gz,0.945,5
0,MPRAGE_sub_0_TI_1.05000.nii.gz,1.05,5
0,MPRAGE_sub_0_TI_0.85500.nii.gz,0.855,5
0,MPRAGE_sub_0_TI_0.91500.nii.gz,0.915,5
0,MPRAGE_sub_0_TI_0.90500.nii.gz,0.905,5
0,MPRAGE_sub_0_TI_0.95000.nii.gz,0.95,5
0,MPRAGE_sub_0_TI_1.15500.nii.gz,1.155,5
0,MPRAGE_sub_0_TI_0.78000.nii.gz,0.78,5
0,MPRAGE_sub_0_TI_0.83500.nii.gz,0.835,5
0,MPRAGE_sub_0_TI_0.67500.nii.gz,0.675,5
0,MPRAGE_sub_0_TI_0.72500.nii.gz,0.725,5
0,MPRAGE_sub_0_TI_0.76500.nii.gz,0.765,5
0,MPRAGE_sub_0_TI_0.76000.nii.gz,0.76,5
0,MPRAGE_sub_0_TI_0.90000.nii.gz,0.9,5
0,MPRAGE_sub_0_TI_0.87500.nii.gz,0.875,5
0,MPRAGE_sub_0_TI_1.17000.nii.gz,1.17,5
0,MPRAGE_sub_0_TI_1.04500.nii.gz,1.045,5
0,MPRAGE_sub_0_TI_0.69500.nii.gz,0.695,5
0,MPRAGE_sub_0_TI_0.74500.nii.gz,0.745,5
0,MPRAGE_sub_0_TI_0.88000.nii.gz,0.88,5
0,MPRAGE_sub_0_TI_0.80500.nii.gz,0.805,5
0,MPRAGE_sub_0_TI_0.82000.nii.gz,0.82,5
0,MPRAGE_sub_0_TI_0.77500.nii.gz,0.775,5
0,MPRAGE_sub_0_TI_1.19000.nii.gz,1.19,5
0,MPRAGE_sub_0_TI_0.94000.nii.gz,0.94,5
0,MPRAGE_sub_0_TI_0.72000.nii.gz,0.72,5
0,MPRAGE_sub_0_TI_1.02000.nii.gz,1.02,5
0,MPRAGE_sub_0_TI_0.62500.nii.gz,0.625,5
